(/home/ege_artan/.code/Python/hypersonics) ege_artan@EgeLaptop:/mnt/c/SenkDosya/Projects/Hypersonics$ python arc/sod_passc_deneme.py --skip-fem

========  STEP 1 : FEM  ========
[INFO] --skip-fem set; reusing runs/fem/refactor/older/sod_fem_snapshots.npz as-is.

========  STEP 2 : PINN  ========
[INFO] PINN device = cuda
[INFO] 10 snapshots, 251 nodes, t in [0.1910, 0.2000], gamma = 1.4
[INFO] U_ref = [1. 1. 3.]
[INFO] FEM fingerprint = 8e8a686f051f185f
[INFO] PINN fingerprint = 4860d026fb80167a
[INFO] No PINN cache at runs/pinn/refactor/older/sod_passc_model.pt; training.
epoch  2220 | L_tot 1.411e-04 | L_data 3.596e-04 | L_pde 6.652e-06 | w_data 0.30 w_pde 5.00 | lr 3.8e-04| t_elapsed 25.09 min
epoch  2240 | L_tot 6.645e-04 | L_data 3.480e-04 | L_pde 1.120e-04 | w_data 0.30 w_pde 5.00 | lr 3.8e-04| t_elapsed 25.30 min
epoch  2260 | L_tot 1.591e-04 | L_data 3.566e-04 | L_pde 1.042e-05 | w_data 0.30 w_pde 5.00 | lr 3.8e-04| t_elapsed 25.52 min
epoch  2280 | L_tot 1.293e-04 | L_data 3.379e-04 | L_pde 5.585e-06 | w_data 0.30 w_pde 5.00 | lr 3.8e-04| t_elapsed 25.74 min
epoch  2300 | L_tot 1.254e-04 | L_data 3.178e-04 | L_pde 6.012e-06 | w_data 0.30 w_pde 5.00 | lr 3.4e-04| t_elapsed 25.95 min
epoch  2320 | L_tot 1.265e-04 | L_data 3.210e-04 | L_pde 6.033e-06 | w_data 0.30 w_pde 5.00 | lr 3.4e-04| t_elapsed 26.16 min
epoch  2340 | L_tot 1.199e-04 | L_data 3.202e-04 | L_pde 4.771e-06 | w_data 0.30 w_pde 5.00 | lr 3.4e-04| t_elapsed 26.37 min
epoch  2360 | L_tot 1.419e-04 | L_data 3.066e-04 | L_pde 9.982e-06 | w_data 0.30 w_pde 5.00 | lr 3.4e-04| t_elapsed 26.58 min
epoch  2380 | L_tot 1.186e-04 | L_data 2.909e-04 | L_pde 6.264e-06 | w_data 0.30 w_pde 5.00 | lr 3.4e-04| t_elapsed 26.79 min
epoch  2400 | L_tot 1.074e-04 | L_data 2.766e-04 | L_pde 4.888e-06 | w_data 0.30 w_pde 5.00 | lr 3.4e-04| t_elapsed 27.00 min
epoch  2420 | L_tot 2.204e-04 | L_data 2.701e-04 | L_pde 2.788e-05 | w_data 0.30 w_pde 5.00 | lr 3.4e-04| t_elapsed 27.21 min
epoch  2440 | L_tot 1.462e-04 | L_data 2.578e-04 | L_pde 1.377e-05 | w_data 0.30 w_pde 5.00 | lr 3.4e-04| t_elapsed 27.42 min
epoch  2460 | L_tot 1.073e-04 | L_data 2.504e-04 | L_pde 6.435e-06 | w_data 0.30 w_pde 5.00 | lr 3.1e-04| t_elapsed 27.62 min
epoch  2480 | L_tot 9.598e-05 | L_data 2.532e-04 | L_pde 4.006e-06 | w_data 0.30 w_pde 5.00 | lr 3.1e-04| t_elapsed 27.83 min
epoch  2500 | L_tot 9.440e-05 | L_data 2.504e-04 | L_pde 3.853e-06 | w_data 0.30 w_pde 5.00 | lr 3.1e-04| t_elapsed 28.06 min
